fold,test_season,model,core_scale,core_home_advantage,core_k,ucl_multiplier,uel_multiplier,uecl_multiplier,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
1,2020/21,competition_layer,275.0,50.0,28.0,1.0,1.0,1.0,540,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.9688962046951372
1,2020/21,core_baseline,275.0,50.0,28.0,1.0,1.0,1.0,540,0.1683932324766324,0.6051279384737962,4.796912984034431e-16,24.34434654775727,121.81563230123356,24.270595316378085,0.9688962046951372
2,2021/22,competition_layer,250.0,40.0,28.0,1.0,1.0,1.0,816,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.942049078803373
2,2021/22,core_baseline,250.0,40.0,28.0,1.0,1.0,1.0,816,0.1565217328511354,0.6169393588893344,9.593825968068862e-16,28.30628359384648,106.45693107374757,24.804118847972173,0.942049078803373
3,2022/23,competition_layer,250.0,40.0,28.0,1.0,1.0,1.0,804,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.9433797049972867
3,2022/23,core_baseline,250.0,40.0,28.0,1.0,1.0,1.0,804,0.16543264287221843,0.6342869196323938,-2.4396317107642925e-15,30.810655836753305,120.80238415234635,23.674136390009064,0.9433797049972867
4,2023/24,competition_layer,250.0,40.0,28.0,1.0,1.0,0.875,806,0.15785289523582402,0.6103936215611289,-2.9150471210670776e-15,26.48103935558771,81.36148435636471,24.90009403300074,0.9445492625658822
4,2023/24,core_baseline,250.0,40.0,28.0,1.0,1.0,1.0,806,0.15781117306858294,0.6103417112801752,-2.4292059342225648e-15,28.113583871926355,81.36148435636471,24.94495524066176,0.9376972949432089
5,2024/25,competition_layer,225.0,40.0,28.0,1.0,1.0,0.875,957,0.1695143279398307,0.6234573223793237,1.4451716659527462e-15,29.68943148582107,101.2730473855371,25.031501320787683,0.9443129270953633
5,2024/25,core_baseline,225.0,40.0,28.0,1.0,1.0,1.0,957,0.16981149716095748,0.6241145705175566,-4.817238886509154e-16,30.768455603400078,101.2730473855371,25.031501320787683,0.9385119620937886
6,2025/26,competition_layer,225.0,40.0,28.0,1.0,1.0,0.75,961,0.1746108672342457,0.6381998729149194,-4.817238886509154e-16,30.990728139753955,97.73433267843961,23.987560048512638,0.9540505872632573
6,2025/26,core_baseline,225.0,40.0,28.0,1.0,1.0,1.0,961,0.17502625928306767,0.6390812969931885,-3.3720672205564077e-15,33.30075024418177,97.73433267843961,24.613461623418893,0.9418661870569277
